Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Infrastructures,415,CKAN,Theme,,REGI,
Colombia,413,CKAN,Theme,,,Colombia
Territorio,410,DCAT,Theme,Planning / Cadastre,,
Administration et action publique,407,CKAN,Theme,,GOVE,
"Services, Social",402,OpenDataSoft,Theme,Society,SOCI,
Sociedad y bienestar,400,CKAN,Theme,Society,SOCI,
South Sudan,397,CKAN,Theme,,,South Sudan
Environnement et climat,395,CKAN,Theme,Environment,ENVI,
oceans,395,CKAN,Theme,Environment,ENVI,
engineeringGeology,395,Geonetwork,Theme,Geoscientific Information,,
Accounts Financial Monetary Affairs and Industry,393,CKAN,Theme,,ECON,
Oceans,393,Geonetwork,Theme,Oceans,ENVI,
Health,388,OpenDataSoft,Theme,Health,HEAL,
Uganda,387,CKAN,Theme,,,Uganda
Regioni e città,387,OpenDataSoft,Theme,,REGI,
Cultura,381,CKAN,Theme,,EDUC,
Health and Human Services,381,DCAT,Theme,Health,HEAL,
Ambiente,378,DCAT,Theme,Environment,ENVI,
Democratic Republic of the Congo,376,CKAN,Theme,,,Congo
Sudan,373,CKAN,Theme,,,Sudan
Somalia,372,CKAN,Theme,,,Somalia
"Economy, Business, SME, Economic development, Employment",370,OpenDataSoft,Theme,Economy,ECON,
Afghanistan,369,CKAN,Theme,,,Afganistan
Finance,369,DCAT,Theme,Economy,ECON,
Maps and geospatial,368,CKAN,Theme,Imagery / Base Maps / Earth Cover,,
Terra,358,DCAT,Theme,Planning / Cadastre,,
Administration,346,OpenDataSoft,Theme,,GOVE,
Gouvernement et finances,345,CKAN,Theme,Economy,"GOVE,ECON",
Environment,345,Geonetwork,Theme,Environment,ENVI,
International Trade ,336,CKAN,Theme,Economy,ECON,
Surveys,331,DCAT,Theme,Society,SOCI,
Mozambique,329,CKAN,Theme,,,Mozambique
Business,328,CKAN,Theme,Economy,ECON,
Transportation,326,OpenDataSoft,Theme,Transportation,TRAN,
Territory and environment,325,OpenDataSoft,Theme,Planning / Cadastre,"REGI,ENVI",
"Water, energy, resources, environment and science",323,CKAN,Theme,Environment,ENER,
Government and Taxes,321,DCAT,Theme,Economy,"GOVE,ECON",
City Administration,320,CKAN,Theme,,REGI,
Mobilité,318,OpenDataSoft,Theme,Transportation,TRAN,
Mali,312,CKAN,Theme,,,Mali
Governo e settore pubblico,312,OpenDataSoft,Theme,,GOVE,
Chad,311,CKAN,Theme,,,Chad
Déplacements - transports,311,OpenDataSoft,Theme,Transportation,TRAN,
Cameroon,310,CKAN,Theme,,,Cameroon
Social Justice,310,CKAN,Theme,,JUST,
Bangladesh,310,CKAN,Theme,,,Bangladesh
Syrian Arab Republic,309,CKAN,Theme,,,Syria
Philippines,307,CKAN,Theme,,,Philippines
Demografía,306,CKAN,Theme,Society,SOCI,
Niger,303,CKAN,Theme,,,Niger
Population and Housing,300,CKAN,Theme,Society,SOCI,
mineralResources,297,Geonetwork,Theme,Geoscientific Information,,
Social Services,296,DCAT,Theme,Society,SOCI,
Energy,296,OpenDataSoft,Theme,,ENER,
Nepal,295,CKAN,Theme,,,Nepal
Mobilità e trasporti,295,DCAT,Theme,Transportation,TRAN,
"Culture, Patrimoine",295,OpenDataSoft,Theme,,EDUC,
Ordenamiento Territorial,293,CKAN,Theme,Planning / Cadastre,,
Internationale Themen,288,CKAN,Theme,,INTR,
Agriculture and Allied Activities ,288,CKAN,Theme,Farming,AGRI,
Government & Finance,282,DCAT,Theme,Economy,"GOVE,ECON",
Governance,280,CKAN,Theme,,GOVE,
City & Governance,280,OpenDataSoft,Theme,,REGI,
Trasporti,277,OpenDataSoft,Theme,Transportation,TRAN,
Ghana,276,CKAN,Theme,,,Ghana
Indonesia,276,CKAN,Theme,,,Indonesia
Mobility and Transport,276,OpenDataSoft,Theme,Transportation,TRAN,
Malawi,272,CKAN,Theme,,,Malawi
Energy and Environment,272,DCAT,Theme,Environment,"ENER,ENVI",
Biota,269,Geonetwork,Theme,Biota,ENVI,
Senegal,268,CKAN,Theme,,,Senegal
ClimatologyMeteorologyAtmosphere,266,Geonetwork,Theme,Climatology / Meteorology / Atmosphere,ENVI,
Soc.Demográfico,264,CKAN,Theme,Society,SOCI,
Economic Sector,263,CKAN,Theme,Economy,ECON,
Economia,263,CKAN,Theme,Economy,ECON,
Instrumentos e Projetos Territoriais,261,Geonetwork,Theme,Planning / Cadastre,,
Transparencia,260,CKAN,Theme,,GOVE,
Science and research,260,CKAN,Theme,,TECH,
Tanzania,258,CKAN,Theme,,,Tanzania
"Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement",255,OpenDataSoft,Theme,Planning / Cadastre,,
Civic Infrastructure,254,CKAN,Theme,,REGI,
Vie culturelle,254,OpenDataSoft,Theme,,EDUC,
Central African Republic,253,CKAN,Theme,,,Central African Republic
BUDGET DE L'ETAT,250,OpenDataSoft,Theme,Economy,"ECON,GOVE",
"Syria, Conflict, 2013-2015",243,CKAN,Theme,,,Syria
Culture,242,OpenDataSoft,Theme,,EDUC,Culture
Burundi,241,CKAN,Theme,,,Burundi
France,240,CKAN,Theme,,,France
Zambia,239,CKAN,Theme,,,Zambia
Vehicle Speed,238,DCAT,Theme,Transportation,TRAN,
"Sport, Loisirs",236,OpenDataSoft,Theme,,EDUC,
Madagascar,235,CKAN,Theme,,,Madagascar
Mauritania,235,CKAN,Theme,,,Mauritania
GeoscientificInformation,235,Geonetwork,Theme,Geoscientific Information,,
Aménagement du territoire,234,OpenDataSoft,Theme,Planning / Cadastre,,
Labor Market,232,CKAN,Theme,Economy,ECON,
Census,232,DCAT,Theme,Society,SOCI,
Myanmar,229,CKAN,Theme,,,Myanmar
Zimbabwe,229,CKAN,Theme,,,Zimbabwe
economia,228,CKAN,Theme,Economy,ECON,
Demographics,228,DCAT,Theme,Society,SOCI,
Pakistan,227,CKAN,Theme,,,Pakistan
Territoires,227,OpenDataSoft,Theme,Planning / Cadastre,,
Economie,227,OpenDataSoft,Theme,Economy,ECON,
land use and development,225,CKAN,Theme,Planning / Cadastre,,
Medio Ambiente,223,CKAN,Theme,Environment,ENVI,
geophysics,222,Geonetwork,Theme,Geoscientific Information,,
Ecuador,220,CKAN,Theme,,,Ecuador
Planning & Development,219,CKAN,Theme,Planning / Cadastre,,
Iraq,217,CKAN,Theme,,,Iraq
Energy,216,CKAN,Theme,,ENER,
Guatemala,215,CKAN,Theme,,,Guatemala
Meteo,214,CKAN,Theme,Environment,ENVI,
Radiation,213,CKAN,Theme,Environment,ENVI,
Population,213,OpenDataSoft,Theme,Society,SOCI,
Agriculture,213,OpenDataSoft,Theme,Farming,AGRI,
Rwanda,211,CKAN,Theme,,,Rwanda
"Transports, Déplacements, Mobilité",210,OpenDataSoft,Theme,Transportation,TRAN,
"Éducation, Formation, Recherche, Enseignement",209,OpenDataSoft,Theme,,EDUC,
Transparency,208,CKAN,Theme,,GOVE,
Education Outcome,208,CKAN,Theme,,EDUC,
"Économie, Business, PME, Développement économique, Emploi",208,OpenDataSoft,Theme,Economy,ECON,
Housing,207,CKAN,Theme,"Structure,Planning / Cadastre",,
Communications,205,CKAN,Theme,Utilities / Communication,,
GIS/Maps,205,DCAT,Theme,Imagery / Base Maps / Earth Cover,,
Housing & Development,205,DCAT,Theme,Structure,,
Energi,204,OpenDataSoft,Theme,,ENER,
Crude Oil & Refined Products,204,OpenDataSoft,Theme,,ECON,
交通,203,CKAN,Theme,Transportation,TRAN,
Mobility,202,CKAN,Theme,Transportation,TRAN,
Liberia,199,CKAN,Theme,,,Liberia
人口減少・少子高齢化,199,CKAN,Theme,Society,SOCI,
Yemen,198,CKAN,Theme,,,Yemen
"Honduras and regional: Hurricane Eta and Iota, November 2020",196,CKAN,Theme,,,Honduras
Honduras,196,CKAN,Theme,,,Honduras
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,196,CKAN,Theme,Environment,ENVI,
Territoires et régions,195,OpenDataSoft,Theme,Planning / Cadastre,REGI,
Sierra Leone,194,CKAN,Theme,,,Sierra Leone
United Republic of Tanzania,194,CKAN,Theme,,,Tanzania
Benin,193,CKAN,Theme,,,Benin
Administration & Finance,190,DCAT,Theme,Economy,"GOVE,ECON",
Weather Conditions,188,CKAN,Theme,Environment,ENVI,
Finanzas,187,CKAN,Theme,Economy,ECON,
"The Bahamas: Hurricane Dorian, September 2019",186,CKAN,Theme,,,Bahamas
Freedom of Information,186,CKAN,Theme,,GOVE,
Business and Economy,186,CKAN,Theme,Economy,ECON,
Canada,184,CKAN,Theme,,,Canada
Urbanisme et Logements,184,OpenDataSoft,Theme,,REGI,
Cadre de vie - environnement,183,OpenDataSoft,Theme,Environment,ENVI,
"Territoires, Agriculture et Innovations",181,OpenDataSoft,Theme,Farming,AGRI,
"Food, Civil Supplies and Co-operation",180,CKAN,Theme,Farming,AGRI,
Business,179,DCAT,Theme,Economy,ECON,
Economic Development,178,DCAT,Theme,Economy,ECON,
Mobilité et transports,177,CKAN,Theme,Transportation,TRAN,
Crime and Community Safety,177,CKAN,Theme,,JUST,
Finance & Administration,177,DCAT,Theme,,"ECON,GOVE",
Angola,176,CKAN,Theme,,,Angola
Governo e Finanças Públicas,176,CKAN,Theme,Economy,"ECON,GOVE",
Natural Resources & Environment,176,DCAT,Theme,Environment,ENVI,
Electricity,176,OpenDataSoft,Theme,,ENER,
Djibouti,175,CKAN,Theme,,,Djibouti
"Uddannelse, kultur og sport",174,CKAN,Theme,,EDUC,
Sport,174,OpenDataSoft,Theme,,EDUC,
Economía y Finanzas,173,CKAN,Theme,Economy,ECON,
"Housing, land, planning and infrastructure",173,CKAN,Theme,Planning / Cadastre,,
"Environnement, Cadre de vie",172,OpenDataSoft,Theme,Environment,ENVI,
Política,171,CKAN,Theme,,GOVE,
Brazil,170,CKAN,Theme,,,Brazil
Gobierno y sector público,170,CKAN,Theme,,GOVE,
Educação,169,CKAN,Theme,,EDUC,
Sciences,168,CKAN,Theme,,TECH,
"Culture, Heritage",168,OpenDataSoft,Theme,,EDUC,
Sociedad,166,CKAN,Theme,Society,SOCI,
Botswana,164,CKAN,Theme,,,Botswana
Infrastrutture e trasporti,164,CKAN,Theme,Transportation,TRAN,
Council and democracy,163,CKAN,Theme,,GOVE,
Health & Human Services,162,DCAT,Theme,Health,HEAL,
Recreation,160,CKAN,Theme,Health,HEAL,
Hallinto ja julkinen sektori,160,CKAN,Theme,,GOVE,
Public service,160,CKAN,Theme,,GOVE,
Health & Public Safety,159,CKAN,Theme,Health,"JUST,HEAL",
Limites administratives et référentiels,159,CKAN,Theme,Boundaries,,
Family & Health,159,DCAT,Theme,Health,HEAL,
Sport - tourisme - loisirs,159,OpenDataSoft,Theme,,EDUC,
Ukraine,158,CKAN,Theme,,,Ukraine
State of Palestine,158,CKAN,Theme,,,Palestine
Lesotho,156,CKAN,Theme,,,Lesotho
"Agroganadería, pesca y forestación",156,CKAN,Theme,Farming,AGRI,
Viet Nam,155,CKAN,Theme,,,Vietnam
Health Sciences,154,CKAN,Theme,Health,HEAL,
健康/照護/社福,154,CKAN,Theme,Health,HEAL,
"The Philippines: Typhoon Haiyan (Yolanda), November 2013",154,CKAN,Theme,,,Philippines
Côte d'Ivoire,154,CKAN,Theme,,,Côte d'Ivoire
Demography,154,OpenDataSoft,Theme,Society,SOCI,
"Economie, Business, PME, Développement économique, Emploi",154,OpenDataSoft,Theme,Economy,ECON,
Données territoriales,152,OpenDataSoft,Theme,Planning / Cadastre,REGI,
nonMetallicMinerals,152,Geonetwork,Theme,Geoscientific Information,,
gold,152,Geonetwork,Theme,Geoscientific Information,,
Economy and Planning,151,CKAN,Theme,Economy,ECON,
Administrative,150,DCAT,Theme,,GOVE,
Urban Development and Housing ,149,CKAN,Theme,,REGI,
Gambia,149,CKAN,Theme,,,Gambia
Community & Economic Development,149,DCAT,Theme,Economy,ECON,
Culture / Tourisme,149,OpenDataSoft,Theme,,EDUC,
Lebanon,148,CKAN,Theme,,,Lebanon
BMA City Data ,148,CKAN,Theme,,REGI,
Land Cover,147,CKAN,Theme,Planning / Cadastre,,
State sector performance,147,CKAN,Theme,,GOVE,
Imagerie et occupation du sol,147,CKAN,Theme,Imagery / Base Maps / Earth Cover,,
Urban Planning,147,OpenDataSoft,Theme,,REGI,
Tourisme,147,OpenDataSoft,Theme,,EDUC,
Peru,146,CKAN,Theme,,,Peru
Société et culture,145,CKAN,Theme,Society,"SOCI,EDUC",
Genetic Improvement and Biotechnology,144,CKAN,Theme,,TECH,
Social,144,CKAN,Theme,Society,SOCI,
Türkiye,144,CKAN,Theme,,,Turkey
Transport,143,DCAT,Theme,Transportation,TRAN,
Urbanisme,143,OpenDataSoft,Theme,,REGI,
City Services,142,OpenDataSoft,Theme,,REGI,
China,141,CKAN,Theme,,,China
Citoyenneté/Institution,140,OpenDataSoft,Theme,,GOVE,
Rural Development and Panchayati Raj Institutions,139,CKAN,Theme,,REGI,
Economia e finanza,139,CKAN,Theme,Economy,ECON,
Azerbaijan,139,CKAN,Theme,,,Azerbaijan
Mexico,139,CKAN,Theme,,,Mexico
Society,139,DCAT,Theme,Society,SOCI,
Education,139,OpenDataSoft,Theme,,EDUC,
Japan,138,CKAN,Theme,,,Japan
Energies et réseaux,138,CKAN,Theme,,ENER,
Community,138,DCAT,Theme,Society,SOCI,
Ciencia y tecnología,137,CKAN,Theme,,TECH,
India,136,CKAN,Theme,,,India
Gobiernos Locales,136,CKAN,Theme,,REGI,
Meio Ambiente,136,CKAN,Theme,Environment,ENVI,
Local Government,136,DCAT,Theme,,"GOVE,REGI",
Libya,135,CKAN,Theme,,,Libya
Tourism,135,CKAN,Theme,,EDUC,
Finances,135,CKAN,Theme,Economy,ECON,
Algeria,135,CKAN,Theme,,,Algeria
Climate,135,OpenDataSoft,Theme,Environment,ENVI,
Chile,134,CKAN,Theme,,,Chile
Trade,134,CKAN,Theme,Economy,ECON,
Irrigation and Water Resources,134,CKAN,Theme,Farming,AGRI,
"Fiji: Cyclone Winston, February 2016",134,CKAN,Theme,,,Fiji
Togo,132,CKAN,Theme,,,Togo
Namibia,132,CKAN,Theme,,,Namibia
Venezuela (Bolivarian Republic of),131,CKAN,Theme,,,Venezuela
"Segurança, Crime, Violência, e Conflito",131,CKAN,Theme,,JUST,
Inland Waters,131,CKAN,Theme,Environment,ENVI,
State,131,DCAT,Theme,,GOVE,
Finances,131,OpenDataSoft,Theme,Economy,ECON,
Prices and Indices,130,CKAN,Theme,Economy,ECON,
Eritrea,130,CKAN,Theme,,,Eritrea
Economy,130,DCAT,Theme,Economy,ECON,
Cambodia,129,CKAN,Theme,,,Cambodia
Water,128,CKAN,Theme,Environment,ENVI,
Demographics,128,CKAN,Theme,Society,SOCI,
Egypt,128,CKAN,Theme,,,Egypt
Hydrology,127,CKAN,Theme,"Inland Waters,Oceans",ENVI,
Italy,127,CKAN,Theme,,,Italy
Imagery,127,DCAT,Theme,Imagery / Base Maps / Earth Cover,,
"Formation, éducation et emploi",126,CKAN,Theme,,EDUC,
El Salvador,126,CKAN,Theme,,,El Salvador
"Loi, justice et sécurité publique",126,CKAN,Theme,,JUST,
"Vanuatu: Cyclone Pam, March 2015",126,CKAN,Theme,,,Vanuatu
Administration et Finances Publiques,126,OpenDataSoft,Theme,,GOVE,
Congo,125,CKAN,Theme,,,Congo
Voting & Elections,125,DCAT,Theme,,GOVE,
"Education, Training, Research, Teaching",125,OpenDataSoft,Theme,,EDUC,
"Equipements, Services, Social",125,OpenDataSoft,Theme,Society,SOCI,
Guinea-Bissau,124,CKAN,Theme,,,Guinea-Bissau
Economie et entreprises,123,CKAN,Theme,Economy,ECON,
Ekonomika un uzņēmējdarbība,123,CKAN,Theme,Economy,ECON,
Popolazione e società,123,OpenDataSoft,Theme,Society,SOCI,
Life Sciences,122,CKAN,Theme,Health,HEAL,
Industry,122,OpenDataSoft,Theme,Economy,ECON,
"Citoyenneté , Démocratie",122,OpenDataSoft,Theme,Society,SOCI,
Humidity,121,CKAN,Theme,Climatology / Meteorology / Atmosphere,ENVI,
Imagery + Basemaps,121,CKAN,Theme,Imagery / Base Maps / Earth Cover,,
Poland,121,CKAN,Theme,,,Poland
Morocco,121,CKAN,Theme,,,Morocco
Medicare,121,DCAT,Theme,Health,HEAL,
Органы прокуратуры,120,CKAN,Theme,,GOVE,
Kyrgyzstan,120,CKAN,Theme,,,Kyrgyzstan
Business & Economics,120,OpenDataSoft,Theme,Economy,ECON,
"Sports, Leisure",120,OpenDataSoft,Theme,,EDUC,
Politik,120,OpenDataSoft,Theme,,GOVE,
Attractivité et innovation,120,OpenDataSoft,Theme,,TECH,
Environment and Forests,119,CKAN,Theme,"Environment,Farming","AGRI,ENVI",
United Kingdom,118,CKAN,Theme,,,United Kingdom
Climate Change Adaptation,118,CKAN,Theme,Environment,ENVI,
Sector Público,117,CKAN,Theme,,GOVE,
Gabon,117,CKAN,Theme,,,Gabon
"Transport, Movements",117,OpenDataSoft,Theme,Transportation,TRAN,
Health Facilities,116,CKAN,Theme,Health,HEAL,
National Accounts ,116,CKAN,Theme,Economy,ECON,
Tunisia,115,CKAN,Theme,,,Tunis
Demographie,115,CKAN,Theme,Society,SOCI,
Public sector,115,OpenDataSoft,Theme,,GOVE,
Societate,114,CKAN,Theme,Society,SOCI,
Eswatini,114,CKAN,Theme,,,Eswatini
Education & Technical Development ,114,CKAN,Theme,,EDUC,
Jamaica,113,CKAN,Theme,,,Jamaica
Landscape Dynamics,113,CKAN,Theme,Planning / Cadastre,,
Comoros,113,CKAN,Theme,,,Comoros
Land Use & Development,112,CKAN,Theme,Planning / Cadastre,,
Energy and Water,112,CKAN,Theme,,ENER,
Jordan,112,CKAN,Theme,,,Jordan
Vegetation,112,DCAT,Theme,Farming,AGRI,
Transporte,112,OpenDataSoft,Theme,Transportation,TRAN,
"Nepal: Earthquake, April 2015",111,CKAN,Theme,,,Nepal
Industria,111,CKAN,Theme,Economy,ECON,
Lao People's Democratic Republic,110,CKAN,Theme,,,Laos
"Tourisme, sports et loisirs",109,CKAN,Theme,,EDUC,
Trade,109,OpenDataSoft,Theme,Economy,ECON,
Agropecuario y Pesca,108,CKAN,Theme,Farming,AGRI,
Nicaragua,108,CKAN,Theme,,,Nicaragua
Geographic Locations and Boundaries,108,DCAT,Theme,Boundaries,,
Réseau électrique,108,OpenDataSoft,Theme,,ENER,
"Kulttuuri, taide ja vapaa-aika",107,CKAN,Theme,,EDUC,
Bolivia (Plurinational State of),107,CKAN,Theme,,,Bolivia
infrastructure,107,CKAN,Theme,,REGI,
Business and Economy,107,DCAT,Theme,Economy,ECON,
"Arts, culture & history",106,CKAN,Theme,,EDUC,
Fiji,106,CKAN,Theme,,,Fiji
Netherlands,106,CKAN,Theme,,,Netherlands
Politics,106,OpenDataSoft,Theme,,GOVE,
Reģioni un pašvaldības,105,CKAN,Theme,,REGI,
Equatorial Guinea,105,CKAN,Theme,,,Equatorial Guinea
Papua New Guinea,105,CKAN,Theme,,,Papua New Guinea
Mauritius,105,CKAN,Theme,,,Mauritius
Thailand,105,CKAN,Theme,,,Thailand
Cabo Verde,105,CKAN,Theme,,,Cabo Verde
Klimatologi,105,DCAT,Theme,Climatology / Meteorology / Atmosphere,ENVI,
Educaţie,104,CKAN,Theme,,EDUC,
"Sciences, recherche et innovation",103,CKAN,Theme,,TECH,
Health and wellbeing,103,CKAN,Theme,Health,HEAL,
Land Monitor,103,CKAN,Theme,Planning / Cadastre,,
Power and Energy,103,CKAN,Theme,,ENER,
Health outcome,102,CKAN,Theme,Health,HEAL,
Education Facilities,102,CKAN,Theme,,EDUC,
Tajikistan,102,CKAN,Theme,,,Tajikistan
Cultura e Arte,102,CKAN,Theme,,EDUC,
Vanuatu,101,CKAN,Theme,,,Vanuatu
education,101,DCAT,Theme,,EDUC,
Développement économique,101,OpenDataSoft,Theme,Economy,ECON,
vegetation/ecology,100,CKAN,Theme,Environment,ENVI,
"Pakistan: Floods, August 2010",100,CKAN,Theme,,,Pakistan
"Sri Lanka: Tsunami, December 2004",100,CKAN,Theme,,,Sri Lanka